image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
bbox20-21-22_WL+FR001_convert.rsml, bbox202122_WL+FR10, 1f5573a8-b96a-418f-9d75-2ef4d0fa4e55, 3.9453816, 3.8577201, 0.25030962, 0.0012724831, 273.48932576415143, 0.020133397, 0, Root, -1, -1, -0.0021166666, -57.29577951308232, 6, 6.1212416, 2ce498bd-91a2-4822-bca3-aab56ac1ced7, 0.13260554, 729d8d6c-ea50-4c13-96b9-8d0a0adc9c71, 1.1127988
bbox20-21-22_WL+FR001_convert.rsml, lat_2, b8eab10f-6ee6-44e4-8773-054cfabc72c4, 0.43227735, 0.42945778, 0.024267925, 1.09298584E-4, 337.4797288526001, 0.017436683, 1, Lateral root, bbox202122_WL+FR10, 1f5573a8-b96a-418f-9d75-2ef4d0fa4e55, 0.199055, 76.57707569094816, 0, 0.0, null, null, null, null
bbox20-21-22_WL+FR001_convert.rsml, lat_3, f2413b08-56a0-43c1-a90c-698aa46caa2a, 0.76349515, 0.7475646, 0.045151554, 2.1326367E-4, 324.78229790251964, 0.01848536, 1, Lateral root, bbox202122_WL+FR10, 1f5573a8-b96a-418f-9d75-2ef4d0fa4e55, 0.5452725, 78.15627006856846, 0, 0.0, null, null, null, null
bbox20-21-22_WL+FR001_convert.rsml, lat_5, 6125343c-ca03-4d90-bfc7-2c91db2ee11c, 0.8268471, 0.7864706, 0.051057026, 2.5176082E-4, 223.18468199868403, 0.019475808, 1, Lateral root, bbox202122_WL+FR10, 1f5573a8-b96a-418f-9d75-2ef4d0fa4e55, 0.73094565, 76.06400554087514, 0, 0.0, null, null, null, null
bbox20-21-22_WL+FR001_convert.rsml, lat_6, 729d8d6c-ea50-4c13-96b9-8d0a0adc9c71, 0.08380502, 0.08314416, 0.004839565, 2.3527038E-5, 246.52401212850788, 0.017097121, 1, Lateral root, bbox202122_WL+FR10, 1f5573a8-b96a-418f-9d75-2ef4d0fa4e55, 1.1127988, 25.783964116798135, 0, 0.0, null, null, null, null
bbox20-21-22_WL+FR001_convert.rsml, lat_7, 320c7ef1-d353-4aba-8294-e469005495e1, 0.103505366, 0.102912284, 0.004726298, 1.7311158E-5, 236.10423070057325, 0.014777317, 1, Lateral root, bbox202122_WL+FR10, 1f5573a8-b96a-418f-9d75-2ef4d0fa4e55, 0.5861027, 19.83508791577047, 0, 0.0, null, null, null, null
bbox20-21-22_WL+FR001_convert.rsml, root_7, 2ce498bd-91a2-4822-bca3-aab56ac1ced7, 0.8182189, 0.777899, 0.048891097, 2.3438621E-4, 217.20628572006356, 0.018908532, 1, Lateral root, bbox202122_WL+FR10, 1f5573a8-b96a-418f-9d75-2ef4d0fa4e55, 0.13260554, 76.41886118901398, 0, 0.0, null, null, null, null
bbox20-21-22_WL+FR001_convert.rsml, bbox202122_WL+FR09, 0aa4e3f8-25df-43a9-a0ad-5341e9f19e42, 4.419807, 4.3435435, 0.27481222, 0.0013680637, 273.41058734339947, 0.019695159, 0, Root, -1, -1, -0.0021166666, -57.29577951308232, 10, 5.9967294, 8773b639-1648-466a-81b5-fd366398648e, 0.10085075, 099e9f8b-e1e3-4f70-a5fc-6bd8b570a523, 1.7684264
bbox20-21-22_WL+FR001_convert.rsml, lat_1, 2f130d63-1e9b-4485-8cb1-2f6fe5bdb326, 0.96547157, 0.91859186, 0.057414405, 2.7260874E-4, 217.9622647177789, 0.018987902, 1, Lateral root, bbox202122_WL+FR09, 0aa4e3f8-25df-43a9-a0ad-5341e9f19e42, 0.5169586, 59.981218649434574, 0, 0.0, null, null, null, null
bbox20-21-22_WL+FR001_convert.rsml, lat_2, 92050220-fb20-4b88-994a-e522879b5043, 0.5475013, 0.5308982, 0.033658594, 1.6501873E-4, 217.61115201330523, 0.019362723, 1, Lateral root, bbox202122_WL+FR09, 0aa4e3f8-25df-43a9-a0ad-5341e9f19e42, 0.7251694, 77.24153015378533, 0, 0.0, null, null, null, null
